"Ordinal","RelativePath","LengthBytes","CreationTimeUtc","LastWriteTimeUtc","Attributes","Sha256","Status","Error"
"16","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_allen-p_xml.zip","889346061","2026-08-29T08:29:45.4394243Z","2026-07-04T19:42:37.7213298Z","Archive","c11b556568242a53adb08ae215a3cc863c1b81e6256582bfa2d3d5b3a2b16aea","hashed",""
"17","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_arnold-j_xml.zip","490663359","2026-08-29T08:30:33.1791455Z","2026-07-05T01:00:52.5842215Z","Archive","471764fd265f26ae9df0403369b6ea6aac0721ac3143ce9073314aab3985e0cb","hashed",""
"18","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_arora-h_xml.zip","44594541","2026-08-29T08:30:33.2948307Z","2026-07-04T13:54:41.9628140Z","Archive","a4833d3ecc329a47b3c525425f07ca15d449ef9322665b12098373472cf1af87","hashed",""
"19","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_badeer-r_xml.zip","127943799","2026-08-29T08:30:33.3078777Z","2026-07-04T19:38:20.2839162Z","Archive","5e93e64ee05b3ff8cca56b6c33779a76682834ace6ca35fb6473a2f6ff5ba802","hashed",""
"20","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_bailey-s_xml.zip","17260560","2026-08-29T08:30:33.3400390Z","2026-07-04T17:09:05.3872897Z","Archive","3723fc1ac7ce140639a15b9abd0852eddda001d811327d8f3312b9dc87de492d","hashed",""
"21","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_bass-e_xml.zip","450001563","2026-08-29T08:30:33.3470660Z","2026-07-05T00:30:19.6156533Z","Archive","87c999f1220a63c2d36a34a2b8e8b518748c7bbd4fce5dbb5b00d6df853b5906","hashed",""
"22","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_baughman-d_xml.zip","259415007","2026-08-29T08:30:33.4525235Z","2026-07-04T19:25:57.1248190Z","Archive","79bfaf554eb5019514c7508bb3fa5f2e9511feda034bf41617f49223ebf5138b","hashed",""
"23","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_beck-s_xml.zip","1873264813","2026-08-29T08:30:33.5700456Z","2026-07-05T01:08:38.7711280Z","Archive","186626815bb998318b42feb531611a9499f668b91e18e58a7f92ccb6aaaaaa4e","hashed",""
"24","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_benson-r_xml.zip","64577847","2026-08-29T08:30:37.0037925Z","2026-07-04T19:43:37.6237670Z","Archive","36af1698ddcdb97f38f8979fbb4f70e7dd3c14ad7899afeb425c695a02281fa0","hashed",""
"25","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_blair-l_xml.zip","87441882","2026-08-29T08:30:37.1273975Z","2026-07-04T19:37:23.0477481Z","Archive","fbdbb31eee5bd84fab0496cab4df6542818744d936297bf6b02ef4dc31b07f74","hashed",""
"26","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_brawner-s_xml.zip","56632959","2026-08-29T08:30:37.7967334Z","2026-07-04T19:01:15.1293660Z","Archive","3b3aa5ffba081851358c691853f73a17d57e3abd7f8370131543fe52c63f3fc3","hashed",""
"27","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_buy-r_xml.zip","272464809","2026-08-29T08:30:37.9092201Z","2026-07-05T01:08:53.6983531Z","Archive","0f7422188eae0b43e4560e52c30a5daf2fe38f2065c83ea6b52a911856db7f14","hashed",""
"28","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_campbell-l_xml.zip","576737388","2026-08-29T08:30:41.0197079Z","2026-07-05T01:02:39.2326198Z","Archive","6bc1dff570a8e44e5682710c047b8f7adac4205f6e1ee017eb510a0f02755860","hashed",""
"29","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_carson-m_xml.zip","44536173","2026-08-29T08:30:42.0855985Z","2026-07-04T19:07:13.7019233Z","Archive","067c270a6fc42d2c8f38e97fa3de4bac9f126c9347a2c9f951494695b0b876e1","hashed",""
"30","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_cash-m_xml.zip","133295320","2026-08-29T08:30:42.1737195Z","2026-07-04T19:42:35.3081424Z","Archive","0b9625569eea80173ad62dfc1e86257616135fa961e93b866b0d33b0b3082bb2","hashed",""
"31","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_causholli-m_xml.zip","142681628","2026-08-29T08:30:42.4258152Z","2026-07-04T19:40:19.0169588Z","Archive","371dd0ae30f6e4cc378bdabd9634a51341228bd244f9e98e78ac5982a21f0ae7","hashed",""
"32","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_corman-s_xml.zip","78069175","2026-08-29T08:30:42.6935112Z","2026-07-04T19:39:28.5787844Z","Archive","3b1c5c98865db5a3766c77afd88cd86f82d5f4d29964162aae5c665996e6473d","hashed",""
"33","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_crandall-s_xml.zip","55215344","2026-08-29T08:30:42.8451488Z","2026-07-04T18:45:24.0282369Z","Archive","0582e212f79071ad4ca039c9683e20ccb55c900617da1f81124a73a861a82a59","hashed",""
"34","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_cuilla-m_xml.zip","57626649","2026-08-29T08:30:44.0397592Z","2026-07-05T00:56:34.9379319Z","Archive","7295472ceb7f5bcca0e18c936449d57286e798bd6b6955b05120ec7f4228c38a","hashed",""
"35","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_dasovich-j_xml.zip","3987955738","2026-08-29T08:30:44.1529956Z","2026-07-05T01:09:40.5285530Z","Archive","f89f9fb374a61debbef1dc0f001b62e2c5ba35fd241def674eeac0900e1dda4d","hashed",""
"36","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_davis-d_xml.zip","524335598","2026-08-29T08:34:00.7095563Z","2026-07-04T19:40:40.2335819Z","Archive","3e3c0e6eb6a74c761ba1541bcc51ae84652a2bb8690a2d55fd62d0858fd9d167","hashed",""
"37","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_dean-c_xml.zip","203515004","2026-08-29T08:34:01.7236089Z","2026-07-04T15:32:18.4803038Z","Archive","3ecee5667244645c97ddf7ea7002822a105f21c1b2ea3ea4faaff8cbff138ccc","hashed",""
"38","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_dean-c2_xml.zip","21942092","2026-08-29T08:34:01.6770752Z","2026-07-04T18:49:55.2597618Z","Archive","22a056c7a0e28f04740d18a5256b48f25de2c20072303ae6aaaece47705036e4","hashed",""
"39","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_delainey-d_xml.zip","184500353","2026-08-29T08:34:02.1014769Z","2026-07-04T19:32:00.7577171Z","Archive","8438b4d51991cf645b53e76623342f577d4a0b0a982dec4347c92df4571a3f58","hashed",""
"40","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_derrick-j_xml.zip","99962258","2026-08-29T08:34:02.4459038Z","2026-07-05T01:04:42.0721604Z","Archive","58518704c57c67b48726dc7d26656fd45e718293a3847a3b698ceb9a068f775a","hashed",""
"41","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_dickson-s_xml.zip","43896359","2026-08-29T08:34:02.6341902Z","2026-07-04T19:26:27.5849283Z","Archive","712c0c3707b097ea86e889e229dcf3d5ec13e6cec431a290be535c5adb2c191c","hashed",""
"42","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_donoho-l_xml.zip","47112653","2026-08-29T08:34:02.7749140Z","2026-07-04T18:30:02.4787481Z","Archive","b5b0be012da38d060308d8a28cec6c22450c27187aff89ab0b673fb4d4d1bc71","hashed",""
"43","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_donohoe-t_xml.zip","107874895","2026-08-29T08:34:02.8690162Z","2026-07-05T00:58:44.6260242Z","Archive","6dd72ff12b6c2beaf3c43acf4ca66563443983f2faf9408d303d285d9ab7b0d3","hashed",""
"44","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_dorland-c_xml.zip","960364365","2026-08-29T08:34:03.0734511Z","2026-07-05T01:09:08.6606163Z","Archive","366f967b694dde3926e23af41999b9346617f59d8b9bfff7a3eba3ac5a7780db","hashed",""
"45","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_ermis-f_xml.zip","118711096","2026-08-29T08:34:04.8378479Z","2026-07-04T15:32:36.0398546Z","Archive","3933ffd2d91bc9d7c7a96dd3f5692ea1206000a5921b123ef241abad1b82993a","hashed",""
"46","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_farmer-d_xml.zip","765165147","2026-08-29T08:34:05.0899500Z","2026-07-05T01:09:34.8562057Z","Archive","9a578c3761b51eb1b459dde4be795b525ae7beb7c19aa0df5b989c4013a27ab3","hashed",""
"47","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_fischer-m_xml.zip","252288398","2026-08-29T08:36:09.2070804Z","2026-07-04T19:43:54.1231961Z","Archive","d4e017c932ab5cf19bbd855ebec7d1dd69ce0f93456b59b2c7634f0c069eda48","hashed",""
"48","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_fischer-m2_xml.zip","37965636","2026-08-29T08:36:09.1322925Z","2026-07-04T18:40:08.0509295Z","Archive","018897393d1f2d737b7e3b24c6a9a350efad4a7e6607fa192725483db6960f4e","hashed",""
"49","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_forney-j_xml.zip","33194890","2026-08-29T08:36:09.6777265Z","2026-07-04T19:35:03.2900378Z","Archive","3345365e5fefdeef93c9763d4b1ca321debf2225387dfd0ade5010203ac52a14","hashed",""
"50","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_fossum-d_xml.zip","239818429","2026-08-29T08:36:09.7440856Z","2026-07-04T19:42:41.8045790Z","Archive","8428247f584f0b2f13eb02ceace4d8cca7f71adb68cc56e08810b9e2032cf2ef","hashed",""
"51","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_gang-l_xml.zip","49259531","2026-08-29T08:36:10.1883439Z","2026-07-04T19:40:42.7616530Z","Archive","71b5c62ff8b6c3fae178eb4ada7edf034f40b92ad3950ea3edcdc02fc60bf48b","hashed",""
"52","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_gay-r_xml.zip","244076638","2026-08-29T08:36:10.2841177Z","2026-07-04T15:16:11.0749883Z","Archive","e9ec49200fe0a60004551287b0fde4dfa7cf6fc9332f3dcd64f1c35aa1bd0cb1","hashed",""
"53","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_geaccone-t_xml.zip","106286998","2026-08-29T08:36:10.7366017Z","2026-07-05T00:14:30.6995401Z","Archive","7b3bda25d13a96d7c71dd9c5eaebae2be590659323f8aa7bfa9c216729443e76","hashed",""
"54","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_germany-c_xml.zip","471398722","2026-08-29T08:36:10.9405170Z","2026-07-05T01:07:55.2896854Z","Archive","fa8f343d4b18788adec3e65c269ba6af233cacc309e026b317805a3e5e148708","hashed",""
"55","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_gilbertsmith-d_xml.zip","63844125","2026-08-29T08:36:11.8090993Z","2026-07-05T00:02:18.1902355Z","Archive","1569b104a4be704c0c908bd1c9812946f7ff0bd16ba729f62846a6248674d98f","hashed",""
"56","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_giron-d_xml.zip","972164351","2026-08-29T08:36:11.9320211Z","2026-07-05T01:08:36.8961051Z","Archive","24af4b965f732ca97614f4008dabac49187915278aa9b43d26d4284a5ae3a368","hashed",""
"57","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_griffith-j_xml.zip","434680674","2026-08-29T08:36:13.7374802Z","2026-07-04T23:29:18.5756629Z","Archive","d845faf31631005671e24524d2a1d1f57fd8a78cc468fb70dd4311da189913fc","hashed",""
"58","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_grigsby-m_xml.zip","355567859","2026-08-29T08:36:15.7344264Z","2026-07-04T19:41:06.6588297Z","Archive","9202e8cefd2e86148056a3dee76b155c2aff15da3d0b94d898ce9e43612f764b","hashed",""
"59","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_guzman-m_xml.zip","161944903","2026-08-29T08:36:16.4084436Z","2026-07-04T19:39:55.8623487Z","Archive","53e788ff036f9744a27bce9c79490288ab393d9754301ec77fdc7b465877edbe","hashed",""
"60","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_haedicke-m_xml.zip","646360536","2026-08-29T08:38:19.4559622Z","2026-07-04T19:43:28.3428571Z","Archive","5f2b52adea6183c0781015795d4964195cffac9e0b252057fedf1b9a2dbaf054","hashed",""
"61","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hain-m_xml.zip","303475278","2026-08-29T08:38:20.6482278Z","2026-07-05T01:09:31.5345432Z","Archive","0cd865fc7e0cb486db4e1751309f4763b5a72c3b62359306f74d31941a0f7335","hashed",""
"62","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_harris-s_xml.zip","6027493","2026-08-29T08:38:21.3648801Z","2026-07-04T16:38:05.3565763Z","Archive","11d929aef4d15114c54cf134d6f84d7ae798fb5d29ca819c26f1be7d2a2cd9df","hashed",""
"63","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hayslett-r_xml.zip","129012407","2026-08-29T08:38:21.3829213Z","2026-07-04T19:22:28.2370489Z","Archive","923cfe086b1f53a95c7ac2adae609892d07699f9149095557ff4049d7e11e38f","hashed",""
"64","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_heard-m_xml.zip","85256413","2026-08-29T08:38:21.6272638Z","2026-07-05T00:49:50.0370855Z","Archive","68236bdc4f884360c427764d6f079138b21c1af64dac6460ea18e097b91c8313","hashed",""
"65","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hendrickson-s_xml.zip","25774051","2026-08-29T08:38:21.7889785Z","2026-07-04T19:10:32.2625462Z","Archive","a15e4506194a2e78bc6999a523e500363afcf7a7e7f5ef3442bf37f3e48bdc3c","hashed",""
"66","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hernandez-j_xml.zip","230800338","2026-08-29T08:38:21.8424681Z","2026-07-04T14:12:41.9348860Z","Archive","6c4d137e337fc89cbfb9a0e400e68599535e5e6eca600dcec375afccd9a280c6","hashed",""
"67","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hodge-j_xml.zip","70057424","2026-08-29T08:38:22.3762687Z","2026-07-04T19:40:46.8568328Z","Archive","d9a0f44eb246dd353d28ac576be1e65c0c9ecdbf8bc0a6e4bb0c9389a4bcce82","hashed",""
"68","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hodge-j2_xml.zip","46841813","2026-08-29T08:38:22.2707642Z","2026-07-04T19:39:17.2621512Z","Archive","31a211355ee6841c04e40eeb34898234b666e84e6dfa8595d7da0543c716b1ad","hashed",""
"69","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_holst-k_xml.zip","43070243","2026-08-29T08:38:22.5157279Z","2026-07-04T18:50:35.0745872Z","Archive","dda806d24158f202534e878dea910e7fab0398ac782c8236d719b19b615e70ee","hashed",""
"70","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_horton-s_xml.zip","126784336","2026-08-29T08:38:23.4364685Z","2026-07-04T19:24:08.5185175Z","Archive","804e0b4664ca1cc2b0e0ecd57d051b6099023abe3ea904ab0eec110c578aae83","hashed",""
"71","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hyatt-k_xml.zip","154232340","2026-08-29T08:38:23.6776436Z","2026-07-04T19:38:02.3019982Z","Archive","bd88925e7b39081c88b79bf0462bfacb32814add3ac05a0d372ab7458c6bf376","hashed",""
"72","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_hyvl-d_xml.zip","344582300","2026-08-29T08:38:24.2280094Z","2026-07-04T19:42:26.9259633Z","Archive","30372c23a437c042e216472324a56d1c4762355883acabe4a95fdd94535c8069","hashed",""
"73","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_jones-t_xml.zip","1433832722","2026-08-29T08:38:25.9144007Z","2026-07-04T15:34:01.8531998Z","Archive","31c49cedf52fe7d32ded8730084091ad78785d4364721c51f1eb6d1aca08c224","hashed",""
"74","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kaminski-v_xml_1of2.zip","4114600777","2026-08-29T08:40:33.8326560Z","2026-07-05T01:08:49.9722690Z","Archive","e44c0b6e48ab27113268b6d6dab986c2383cdce06996bba2d9d6091b7a4c3712","hashed",""
"75","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kaminski-v_xml_2of2.zip","3298792295","2026-08-29T08:42:52.2810827Z","2026-07-05T01:09:48.0202601Z","Archive","8cf248cdca0dcb1970f6f1090b29d956be1c2626d7b6d701f06cd349ec0cf23d","hashed",""
"76","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kean-s_xml_1of8.zip","3366510249","2026-08-29T08:44:59.8648125Z","2026-07-05T01:09:46.1471300Z","Archive","865f37d9c19434a93d71910f275b5b94a91a46a4ac57aa48df0bf9612acf2ba0","hashed",""
"77","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kean-s_xml_2of8.zip","3541527437","2026-08-29T08:47:10.3870273Z","2026-07-05T01:09:06.7868379Z","Archive","c463c2dfb02adff73e2846bb34b35458530363e9f0940b394e7a8b6211b21260","hashed",""
"78","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kean-s_xml_3of8.zip","2278919986","2026-08-29T08:49:20.9163296Z","2026-07-05T01:09:14.2510354Z","Archive","ab2424401948484c08a248a57ccce24f7f995446a8e2855a68343c78aa9da9d2","hashed",""
"79","DOSSIER_SPACE_ROOT\01_RAW_CORPUS\EDRM ENRON pst files enrondata.org\edrm.enron.email.data.set.v2.xml\edrm-enron-v2_kean-s_xml_4of8.zip","3143957518","2026-08-29T08:51:21.0286282Z","2026-07-05T01:09:42.4667829Z","Archive","5fb65497c61a8f034a7e3884feff45f1679ea983676a0444b39d91d6b18cc73b","hashed",""
